gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,AvgMonthlySpend,ServiceCount,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,1,0,0,-0.672488782636249,1,1,-0.3701980609352848,-0.6214926488202146,-0.3201794708277661,-0.5761835606984258,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,-1.2872037153222429,0,0,-1.3330345583912322,-1.0026037447457368,-1.3276860701023734,-1.1180647293042907,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,1.335579997471331,1,1,1.4169733234240212,2.111410345678536,1.4548410217232652,1.591341113725034,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,0,0,-1.2872037153222429,0,0,-1.361402358142967,-1.0029787889501207,-1.3559378015459502,-1.1180647293042907,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,1,0,0.14713112761174285,1,1,0.6693983652606512,0.3685137436346513,0.7254115703438193,-0.5761835606984258,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0,0,1,1,0.9257700423473351,1,1,0.8412738578741048,1.2361454183413914,0.9145647180954163,-0.03430239209256088,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1,0,0,0,-1.2462227198098432,1,1,-0.3618545904200686,-0.9620989706722629,-0.22171387741412413,-0.5761835606984258,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,0,1,1,1.1716560154217326,1,0,-0.17996693318835602,0.5929887306703785,-0.1827689882158669,-0.03430239209256088,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,1,-1.2872037153222429,1,1,0.3056230507972256,-0.980939426586613,0.3042668874030522,-1.1180647293042907,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,-0.7134697781486485,1,1,1.1316266318036274,-0.3843764659543672,0.9937199257300222,1.049459945119169,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
0,0,1,0,0.3520361051737408,1,1,0.2605683100150584,0.3104701376502779,0.2660439566264483,0.5075787765133041,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False
1,0,1,1,-0.7544507736610482,1,1,0.7361461293823807,-0.4584146041845295,0.8211073861649537,-0.03430239209256088,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,0,1,0,1.130675019909333,1,1,1.154988349246233,1.6273385849377076,1.148910564238218,0.5075787765133041,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,0,-0.6315077871238494,1,1,1.2467665249136108,-0.24490414477108788,1.2398977581520898,1.049459945119169,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
